macro,value,group,provenance_note
SlopeEncodec,1.0010,,
SlopeEncodecCI,"[0.9922, 1.0099]",,t(8) interval on ten conditions
SlopeEncodecRsq,0.99988,,
AmpEncodec,13.72,,cents
BiasOffGrid,12.55,Magnitude at the headline operating point,"cents, median grid bias over the off-grid band"
RegDiff,2.68,register test on Saraga (analyze_register_split.py); the sixth partial,
RegDiffCI,"[1.38, 4.30]",register test on Saraga (analyze_register_split.py); the sixth partial,
CorpusBias,2.49,"codebook probe detectable floor (rayleigh_floor.py, 4000 sims)","cents, real music, EnCodec 3 kbps (corpus_pull_encodec3)"
CorpusBiasCI,"[2.05, 2.98]","codebook probe detectable floor (rayleigh_floor.py, 4000 sims)","bootstrap over clips (analyze_corpus_pull.py); over frames it is [2.21, 2.81]"
CausalSpecificBias,0.87,The relocation experiment: retuning the corpus moves the attractor,same contrast read on $\tilde b$ (Appendix E.1)
AttractorRetune,39.6,The relocation experiment: retuning the corpus moves the attractor,"zero crossing, +33-cent arm, cents"
AttractorRetuneCI,"[37.1, 42.0]",The relocation experiment: retuning the corpus moves the attractor,
LadderRetune,0.87,The relocation experiment: retuning the corpus moves the attractor,ladder fraction against the retuned grid
LadderRetuneTET,0.11,The relocation experiment: retuning the corpus moves the attractor,same partials against 12-TET
SvaraErrClean,4.1,Downstream cost: tuning analysis through a codec (analyze_tuning.py),"median abs error, Saraga degrees, uncoded (cents)"
MakamErrClean,5.2,Downstream cost: tuning analysis through a codec (analyze_tuning.py),
SvaraDiff,3.2,Downstream cost: tuning analysis through a codec (analyze_tuning.py),
SvaraDiffCI,"[2.6, 3.8]",Downstream cost: tuning analysis through a codec (analyze_tuning.py),
MakamDiff,4.4,Downstream cost: tuning analysis through a codec (analyze_tuning.py),
MakamDiffCI,"[3.5, 5.4]",Downstream cost: tuning analysis through a codec (analyze_tuning.py),
SvaraDiffBand,0.2,Downstream cost: tuning analysis through a codec (analyze_tuning.py),"paired diff, band-limited read"
SvaraDiffCarnaticFT,0.3,decoder fine-tuned on a non-Western corpus: the ladder follows it,
SvaraDiffCarnaticFTCI,"[-0.2, 0.8]",decoder fine-tuned on a non-Western corpus: the ladder follows it,
SvaraDiffGtzanFT,1.3,the GTZAN-tuned decoder scored on Saraga: generic effect vs corpus grid,"five seeds, ftm_grid_s0..4"
VocFundMove,3.1,"a neural vocoder, to separate this mechanism from the prior finding",
ExtLadder,0.68,"WavTokenizer, the second family carrying the ladder","bandwidth extender, grid-peaked corpus"
AttractorRetuneWav,37.9,"WavTokenizer, the second family carrying the ladder",
AttractorRetuneWavCI,"[34.6, 41.2]","WavTokenizer, the second family carrying the ladder",
AttractorRetuneMimi,38.4,"WavTokenizer, the second family carrying the ladder",
AttractorRetuneMimiCI,"[34.2, 42.6]","WavTokenizer, the second family carrying the ladder",
TuningFlip,18\%,"WavTokenizer, the second family carrying the ladder",makam recordings whose best-fitting system flips
TuningFlipSaraga,11\%,"WavTokenizer, the second family carrying the ladder",
CarnaticBias,2.63,"WavTokenizer, the second family carrying the ladder","cents, EnCodec 3 kbps on Saraga Carnatic (corpus_pull_saraga_encodec3)"
CarnaticBiasCI,"[2.17, 3.14]","WavTokenizer, the second family carrying the ladder","over clips; over frames [2.27, 2.97]"
BypassBias,5.66,"Mechanism: it is NOT the codebook (mech_bypass.csv, probe_encodec3.csv)",cents with NO quantisation
ProbeBoundaries,2341,"Mechanism: it is NOT the codebook (mech_bypass.csv, probe_encodec3.csv)",
ProbeRayleighP,0.86,"Mechanism: it is NOT the codebook (mech_bypass.csv, probe_encodec3.csv)",
CausalGrid,4.51,"Causal experiment (ftm_grid.csv, ftm_flat.csv)","cents, mean of five seeds, decoder fine-tuned on original clips (summary_causal.py)"
CausalFlat,3.75,"Causal experiment (ftm_grid.csv, ftm_flat.csv)","cents, mean of five seeds, flattened corpus"
CausalGridMix,4.69,"Causal experiment (ftm_grid.csv, ftm_flat.csv)","cents, mean of five seeds, magnitude-matched control (0 or 100 cents per clip)"
PopMedian,4.37,Values the abstract quotes. These were literals for seven drafts and,
PopMedianCI,"[1.73, 9.13]",Values the abstract quotes. These were literals for seven drafts and,"two-way bootstrap over both margins of the crossed envelope x register design (Appendix C.7); resampling the 24 cells exchangeably gives the narrower [2.75, 6.95] and ignores both margins"
LadderHi,0.89,Values the abstract quotes. These were literals for seven drafts and,highest fine-tuned arm
EdgeStock,1.3,Values the abstract quotes. These were literals for seven drafts and,"kHz, stock EnCodec 3 kbps"
EdgeTuned,2.0,Values the abstract quotes. These were literals for seven drafts and,"kHz, every fine-tuned arm"
ExtEdge,1.32,Values the abstract quotes. These were literals for seven drafts and,"kHz, the extender's matched edge"
RetuneShift,32.7,Values the abstract quotes. These were literals for seven drafts and,"cents, grid displacement"
RetuneSeedSD,2.8,Values the abstract quotes. These were literals for seven drafts and,"cents, seed-level spread of the retuned displacement"
CtrlSemitone,0.88,Values the abstract quotes. These were literals for seven drafts and,"grid-preserving control, semitone shift"
CtrlMixed,0.86,Values the abstract quotes. These were literals for seven drafts and,"grid-preserving control, 0-or-100 shift"
LadderFlat,0.59,Values the abstract quotes. These were literals for seven drafts and,"highest of the four grid-manipulated arms, against 12-TET"
CodecFundMax,0.2,Values the abstract quotes. These were literals for seven drafts and,"max |mean over repetitions| of the H1 displacement, every EnCodec row of Table \ref{tab:spectral}; was 0.4, which no row reaches"
PyinCost,0.7,Values the abstract quotes. These were literals for seven drafts and,"cents, pYIN on Saraga"
MakamCrossDiff,6.6,"D1: Saraga-tuned decoder read on the makam corpus, out of corpus",
MakamCrossDiffCI,"[5.5, 7.7]","D1: Saraga-tuned decoder read on the makam corpus, out of corpus",
ConfN,15,E: registered pass on checkpoints untouched by either earlier arm,
ConfHits,11,E: registered pass on checkpoints untouched by either earlier arm,
ConfConst,5,E: registered pass on checkpoints untouched by either earlier arm,
ConfP,0.070,E: registered pass on checkpoints untouched by either earlier arm,
ConfMajLo,0.375,E: registered pass on checkpoints untouched by either earlier arm,"exact McNemar against always-ladder, 4:1 split (the rule got neither input's-tier row)"
